positive, negative, cool, BID, funny, stars, date,type,useful
0,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 2, 2013-08-05, review, 0, 
1,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2013-08-20, review, 0, 
1,1,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 3, 2013-09-17, review, 1, 
3,1,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2013-12-31, review, 1, 
2,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-01-17, review, 0, 
4,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2014-02-10, review, 0, 
1,1,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-02-16, review, 0, 
3,1,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-02-18, review, 0, 
4,0,1, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2014-03-01, review, 3, 
7,1,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-03-01, review, 0, 
9,2,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2014-03-15, review, 0, 
1,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-05-02, review, 0, 
5,1,1, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-05-11, review, 0, 
1,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 3, 2014-06-10, review, 0, 
1,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-06-14, review, 0, 
3,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-07-19, review, 0, 
8,2,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-07-22, review, 0, 
3,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2014-08-03, review, 0, 
7,1,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2014-08-07, review, 0, 
5,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2014-08-23, review, 0, 
3,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-10-03, review, 0, 
1,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2014-11-05, review, 0, 
5,3,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 3, 2014-11-22, review, 1, 
5,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-11-23, review, 1, 
11,1,1, usSROUMiAgPcxV3Ym0OxMQ, 1, 4, 2014-11-29, review, 2, 
3,5,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 3, 2014-11-30, review, 0, 
5,2,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-12-09, review, 0, 
2,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-12-22, review, 0, 
3,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2014-12-27, review, 0, 
3,1,0, _jsJFrAmFVPRio0eEVExbA, 0, 3, 2012-11-11, review, 1, 
6,3,0, _jsJFrAmFVPRio0eEVExbA, 0, 4, 2012-12-12, review, 0, 
1,1,0, _jsJFrAmFVPRio0eEVExbA, 0, 1, 2013-10-18, review, 1, 
2,1,0, _jsJFrAmFVPRio0eEVExbA, 0, 1, 2014-07-26, review, 0, 
2,1,0, Rjx8GcWuCzfVsKC5iPIcQA, 0, 1, 2011-09-18, review, 0, 
3,1,1, Rjx8GcWuCzfVsKC5iPIcQA, 1, 4, 2012-04-17, review, 1, 
2,5,0, Rjx8GcWuCzfVsKC5iPIcQA, 0, 4, 2012-06-25, review, 0, 
6,0,0, Rjx8GcWuCzfVsKC5iPIcQA, 0, 5, 2013-08-03, review, 0, 
1,0,0, Rjx8GcWuCzfVsKC5iPIcQA, 0, 2, 2013-09-04, review, 0, 
2,0,0, Rjx8GcWuCzfVsKC5iPIcQA, 0, 4, 2014-04-07, review, 0, 
4,1,0, Rjx8GcWuCzfVsKC5iPIcQA, 0, 5, 2014-04-14, review, 0, 
7,4,1, s74Tq6WKV1b91UFRr7ch7g, 0, 4, 2011-03-11, review, 1, 
3,4,1, s74Tq6WKV1b91UFRr7ch7g, 1, 4, 2011-09-07, review, 1, 
2,4,0, s74Tq6WKV1b91UFRr7ch7g, 0, 4, 2011-11-02, review, 0, 
8,3,0, s74Tq6WKV1b91UFRr7ch7g, 0, 4, 2012-12-12, review, 0, 
6,1,0, s74Tq6WKV1b91UFRr7ch7g, 0, 4, 2013-04-11, review, 0, 
1,2,0, s74Tq6WKV1b91UFRr7ch7g, 0, 3, 2013-10-21, review, 0, 
5,2,0, s74Tq6WKV1b91UFRr7ch7g, 0, 4, 2014-02-22, review, 0, 
4,5,1, s74Tq6WKV1b91UFRr7ch7g, 0, 4, 2014-03-10, review, 1, 
3,0,0, s74Tq6WKV1b91UFRr7ch7g, 0, 5, 2014-07-07, review, 0, 
2,0,0, s74Tq6WKV1b91UFRr7ch7g, 0, 4, 2014-09-07, review, 0, 
2,0,0, s74Tq6WKV1b91UFRr7ch7g, 0, 5, 2014-12-14, review, 0, 
7,1,0, BG4N0V93wml9kaU6YYRxRA, 0, 2, 2008-10-21, review, 0, 
7,11,1, BG4N0V93wml9kaU6YYRxRA, 0, 2, 2009-06-09, review, 0, 
0,1,0, BG4N0V93wml9kaU6YYRxRA, 1, 5, 2009-06-10, review, 0, 
4,2,1, BG4N0V93wml9kaU6YYRxRA, 1, 2, 2012-06-09, review, 1, 
5,3,1, BG4N0V93wml9kaU6YYRxRA, 2, 2, 2013-04-01, review, 1, 
4,3,0, BG4N0V93wml9kaU6YYRxRA, 0, 2, 2013-05-25, review, 0, 
1,0,0, BG4N0V93wml9kaU6YYRxRA, 1, 1, 2013-11-15, review, 1, 
2,0,0, BG4N0V93wml9kaU6YYRxRA, 0, 5, 2014-05-27, review, 0, 
1,2,0, BG4N0V93wml9kaU6YYRxRA, 0, 2, 2014-07-29, review, 1, 
0,0,0, BG4N0V93wml9kaU6YYRxRA, 0, 2, 2014-08-09, review, 0, 
29,10,4, 83_p9vIqOq1TUIf3_GD7bA, 2, 5, 2008-05-26, review, 7, 
4,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2008-08-31, review, 2, 
14,4,1, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2008-09-14, review, 2, 
9,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2008-10-13, review, 1, 
6,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2008-12-02, review, 0, 
10,2,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2008-12-03, review, 1, 
3,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2008-12-03, review, 0, 
3,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2009-04-06, review, 1, 
4,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2009-07-15, review, 0, 
3,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2009-08-26, review, 1, 
2,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2009-10-17, review, 0, 
3,0,2, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2009-10-26, review, 1, 
2,4,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2009-11-07, review, 0, 
2,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2009-12-26, review, 0, 
2,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2009-12-29, review, 0, 
3,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-01-05, review, 0, 
8,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 3, 2010-01-25, review, 0, 
1,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-02-04, review, 0, 
5,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-03-13, review, 0, 
6,3,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2010-03-18, review, 3, 
0,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-04-11, review, 1, 
1,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-05-04, review, 1, 
13,2,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-07-15, review, 1, 
1,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2010-07-15, review, 0, 
1,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-07-18, review, 1, 
0,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-08-02, review, 2, 
5,2,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-08-23, review, 1, 
14,11,1, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2010-09-05, review, 2, 
1,0,1, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-10-07, review, 2, 
2,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-10-11, review, 2, 
1,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 3, 2010-10-13, review, 1, 
1,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-10-18, review, 1, 
3,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2010-12-10, review, 0, 
6,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2011-01-01, review, 0, 
10,2,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2011-01-01, review, 0, 
5,5,1, 83_p9vIqOq1TUIf3_GD7bA, 0, 3, 2011-01-31, review, 3, 
5,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2011-02-13, review, 1, 
13,3,1, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2011-02-16, review, 5, 
5,6,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2011-02-25, review, 0, 
1,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2011-04-01, review, 0, 
2,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2011-06-08, review, 0, 
9,4,1, 83_p9vIqOq1TUIf3_GD7bA, 1, 3, 2011-06-25, review, 1, 
8,3,3, 83_p9vIqOq1TUIf3_GD7bA, 4, 3, 2011-07-12, review, 1, 
4,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2011-07-31, review, 0, 
5,4,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 3, 2011-07-31, review, 0, 
8,0,1, 83_p9vIqOq1TUIf3_GD7bA, 1, 5, 2011-07-31, review, 1, 
7,2,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2011-08-05, review, 0, 
6,2,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 3, 2011-08-13, review, 2, 
10,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2011-09-28, review, 0, 
2,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2011-11-19, review, 1, 
13,1,4, 83_p9vIqOq1TUIf3_GD7bA, 2, 4, 2012-03-02, review, 8, 
6,2,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 3, 2012-03-03, review, 0, 
0,0,1, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2012-05-01, review, 1, 
10,2,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2012-05-02, review, 0, 
1,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2012-07-08, review, 0, 
8,0,1, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2012-07-26, review, 2, 
4,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2012-08-12, review, 0, 
1,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2012-09-02, review, 0, 
4,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2012-09-03, review, 0, 
12,1,4, 83_p9vIqOq1TUIf3_GD7bA, 2, 5, 2012-11-04, review, 3, 
5,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2012-12-27, review, 1, 
10,3,1, 83_p9vIqOq1TUIf3_GD7bA, 1, 4, 2013-01-06, review, 1, 
11,2,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2013-01-26, review, 1, 
4,1,1, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2013-04-09, review, 2, 
0,3,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2013-08-10, review, 0, 
7,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2013-09-02, review, 0, 
1,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2013-09-11, review, 0, 
2,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2014-02-06, review, 0, 
5,3,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2014-02-07, review, 1, 
3,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2014-05-04, review, 2, 
13,5,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 3, 2014-06-01, review, 0, 
8,1,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2014-07-31, review, 0, 
2,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2014-09-08, review, 0, 
2,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 2, 2014-09-15, review, 0, 
3,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 3, 2014-09-29, review, 0, 
2,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2014-10-09, review, 0, 
8,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2014-11-20, review, 0, 
7,3,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 3, 2014-11-28, review, 0, 
3,2,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 1, 2014-12-13, review, 0, 
5,4,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2014-12-20, review, 0, 
12,4,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 1, 2014-12-24, review, 0, 
0,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 5, 2014-12-31, review, 0, 
3,0,0, 83_p9vIqOq1TUIf3_GD7bA, 0, 4, 2015-01-01, review, 0, 
0,0,0, bZcqORBnVApUA2-SEn7VEQ, 0, 1, 2009-04-05, review, 3, 
0,0,0, bZcqORBnVApUA2-SEn7VEQ, 2, 1, 2010-05-05, review, 1, 
0,0,0, bZcqORBnVApUA2-SEn7VEQ, 0, 3, 2010-10-23, review, 0, 
4,2,0, bZcqORBnVApUA2-SEn7VEQ, 0, 4, 2011-06-10, review, 1, 
7,1,1, bZcqORBnVApUA2-SEn7VEQ, 4, 1, 2013-09-26, review, 1, 
1,3,0, bZcqORBnVApUA2-SEn7VEQ, 0, 1, 2014-09-05, review, 0, 
5,0,1, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2009-10-23, review, 1, 
4,1,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2010-05-05, review, 0, 
1,0,0, YMEtEsUDQKOYJOcE5Fx3gQ, 2, 5, 2010-05-29, review, 1, 
2,0,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2011-02-13, review, 0, 
7,4,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2011-05-01, review, 0, 
9,1,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2011-08-15, review, 1, 
6,0,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2011-10-09, review, 0, 
8,0,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2012-07-01, review, 0, 
11,0,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2012-08-15, review, 0, 
2,1,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2012-10-21, review, 1, 
12,5,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 4, 2013-01-18, review, 0, 
5,3,2, YMEtEsUDQKOYJOcE5Fx3gQ, 2, 5, 2013-04-10, review, 2, 
4,1,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 2, 2013-10-05, review, 0, 
5,3,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2013-11-27, review, 0, 
1,0,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 4, 2014-01-27, review, 0, 
9,1,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2014-03-12, review, 0, 
6,0,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2014-03-13, review, 1, 
3,1,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2014-06-03, review, 1, 
13,0,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2014-09-10, review, 0, 
17,3,1, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 5, 2014-09-15, review, 2, 
1,1,0, YMEtEsUDQKOYJOcE5Fx3gQ, 0, 4, 2014-11-12, review, 0, 
2,0,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 5, 2007-03-01, review, 1, 
11,2,1, wfCLz9-aeShbPB7CaTY-qQ, 2, 2, 2007-09-20, review, 2, 
6,4,2, wfCLz9-aeShbPB7CaTY-qQ, 2, 5, 2007-12-15, review, 3, 
11,6,0, wfCLz9-aeShbPB7CaTY-qQ, 1, 4, 2008-05-17, review, 3, 
4,1,0, wfCLz9-aeShbPB7CaTY-qQ, 1, 5, 2008-06-22, review, 1, 
9,1,1, wfCLz9-aeShbPB7CaTY-qQ, 0, 2, 2008-08-04, review, 3, 
7,3,0, wfCLz9-aeShbPB7CaTY-qQ, 2, 2, 2008-12-10, review, 2, 
3,3,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2009-01-16, review, 1, 
2,0,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 5, 2009-06-13, review, 0, 
1,1,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 2, 2009-06-25, review, 1, 
5,2,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2009-07-19, review, 1, 
3,0,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2010-03-25, review, 0, 
7,2,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2010-04-20, review, 1, 
4,5,3, wfCLz9-aeShbPB7CaTY-qQ, 3, 5, 2010-04-27, review, 6, 
10,5,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2010-08-05, review, 3, 
3,3,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 2, 2010-11-06, review, 3, 
3,1,0, wfCLz9-aeShbPB7CaTY-qQ, 1, 1, 2011-01-15, review, 1, 
1,0,1, wfCLz9-aeShbPB7CaTY-qQ, 0, 2, 2011-02-14, review, 1, 
5,5,1, wfCLz9-aeShbPB7CaTY-qQ, 1, 4, 2011-03-09, review, 1, 
5,2,1, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2011-03-15, review, 1, 
0,0,0, wfCLz9-aeShbPB7CaTY-qQ, 2, 1, 2011-04-07, review, 0, 
1,0,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2011-06-09, review, 0, 
4,4,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2011-08-09, review, 1, 
5,2,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 5, 2011-08-14, review, 1, 
13,10,7, wfCLz9-aeShbPB7CaTY-qQ, 15, 2, 2011-08-16, review, 6, 
11,0,0, wfCLz9-aeShbPB7CaTY-qQ, 1, 5, 2011-11-01, review, 0, 
15,4,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2011-11-26, review, 0, 
13,10,2, wfCLz9-aeShbPB7CaTY-qQ, 1, 4, 2011-12-09, review, 1, 
24,10,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2011-12-11, review, 0, 
11,6,2, wfCLz9-aeShbPB7CaTY-qQ, 1, 3, 2012-01-05, review, 5, 
10,3,2, wfCLz9-aeShbPB7CaTY-qQ, 9, 2, 2012-01-10, review, 10, 
5,2,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 1, 2012-01-20, review, 1, 
0,0,2, wfCLz9-aeShbPB7CaTY-qQ, 4, 3, 2012-01-24, review, 3, 
7,4,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2012-01-28, review, 1, 
1,1,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 2, 2012-03-20, review, 1, 
14,4,2, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2012-04-12, review, 3, 
1,0,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2012-05-02, review, 0, 
14,10,1, wfCLz9-aeShbPB7CaTY-qQ, 3, 1, 2012-05-12, review, 2, 
5,0,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2012-05-24, review, 0, 
3,5,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 1, 2012-06-12, review, 3, 
3,3,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2012-06-16, review, 1, 
5,1,1, wfCLz9-aeShbPB7CaTY-qQ, 1, 4, 2012-06-25, review, 1, 
6,4,2, wfCLz9-aeShbPB7CaTY-qQ, 0, 5, 2012-06-26, review, 4, 
5,3,1, wfCLz9-aeShbPB7CaTY-qQ, 1, 2, 2012-07-16, review, 2, 
0,1,1, wfCLz9-aeShbPB7CaTY-qQ, 0, 5, 2012-09-02, review, 1, 
1,0,1, wfCLz9-aeShbPB7CaTY-qQ, 4, 3, 2012-11-02, review, 1, 
2,0,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 5, 2012-11-26, review, 0, 
1,0,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 1, 2013-03-23, review, 0, 
2,3,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2013-04-01, review, 1, 
9,3,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2013-04-08, review, 0, 
3,7,1, wfCLz9-aeShbPB7CaTY-qQ, 0, 2, 2013-05-25, review, 0, 
2,2,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2013-06-25, review, 0, 
6,5,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2013-08-21, review, 0, 
17,1,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 5, 2013-09-27, review, 0, 
11,0,16, wfCLz9-aeShbPB7CaTY-qQ, 11, 5, 2013-10-18, review, 18, 
2,0,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2013-10-27, review, 0, 
13,1,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2013-11-03, review, 1, 
6,2,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2013-11-09, review, 0, 
16,3,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2013-12-11, review, 0, 
15,5,1, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2014-01-20, review, 1, 
1,1,1, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2014-01-31, review, 1, 
11,4,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 5, 2014-03-04, review, 1, 
3,3,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2014-03-05, review, 1, 
4,1,0, wfCLz9-aeShbPB7CaTY-qQ, 1, 4, 2014-05-26, review, 0, 
4,2,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2014-06-16, review, 0, 
11,2,0, wfCLz9-aeShbPB7CaTY-qQ, 2, 5, 2014-06-28, review, 1, 
3,1,1, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2014-07-07, review, 0, 
28,5,4, wfCLz9-aeShbPB7CaTY-qQ, 2, 4, 2014-07-07, review, 2, 
2,1,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2014-08-03, review, 0, 
10,2,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2014-09-14, review, 0, 
7,6,0, wfCLz9-aeShbPB7CaTY-qQ, 1, 3, 2014-09-17, review, 0, 
10,2,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2014-09-24, review, 0, 
9,5,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 3, 2014-09-26, review, 1, 
6,11,0, wfCLz9-aeShbPB7CaTY-qQ, 0, 4, 2014-10-09, review, 0, 
